"resolution","avg","min","max","onepercent","pointone"
"4k stock","46.1","41.1","53.0","41.0","39.0"
"4K MAX","48.6","43.3","56.3","43.4","41.8"
"1440 stock","83.6","76.3","97.7","74.6","54.2"
"1440 MAX","86.2","77.9","100.9","76.5","64.5"
"1080 stock","114.6","101.1","136.9","98.0","80.0"
"1080 MAX","117.9","104.3","141.5","101.3","84.5"
