"resolution","avg","min","max","onepercent","pointone"
"4k stock","49.5","40.7","61.7","40.7","38.1"
"1440 stock","92.5","71.1","112.7","71.3","67.7"
"1080 stock","113.5","83.7","148.1","83.6","77.3"
