"resolution","avg","min","max","onepercent","pointone"
"4K stock","75.6","62.6","113.5","62.8","43.9"
"1440 stock","133.0","103.5","212.5","102.3","45.8"
"1080 stock","180.6","124.6","314.4","117.6","44.6"
