"resolution","avg","min","max","onepercent","pointone"
"4k stock","72.6","62.9","92.8","62.8","56.7"
"4k MAX","75.3","65.4","94.6","65.2","35.1"
"1440 stock","130.2","111.9","148.9","108.2","94.0"
"1440 MAX","131.8","110.6","154.2","106.9","55.9"
"1080 stock","143.5","110.6","193.9","109.0","101.7"
"1080 MAX","141.9","110.7","191.8","107.0","54.9"
