"resolution","avg","min","max","onepercent","pointone"
"1440 stock","94.7","72.9","132.9","72.9","69.2"
"1440 MAX","97.1","74.8","118.5","75.1","67.1"
"1080 stock","116.9","85.7","151.9","86.0","78.4"
"1080 MAX","119.9","87.3","156.7","87.9","80.9"
"4K stock","49.3","40.1","61.1","40.4","39.2"
"4k MAX","50.0","41.3","61.5","41.6","39.4"
