"resolution","avg","min","max","onepercent","pointone"
"4K stock","46.7","41.5","53.9","41.6","39.4"
"1440 stock","83.8","75.4","98.1","73.7","50.4"
"1080 stock","113.4","100.3","136.4","97.3","60.2"
