"resolution","avg","min","max","onepercent","pointone"
"4k stock","74.2","61.5","111.5","61.6","44.0"
"4k MAX","74.2","61.5","110.9","61.7","43.2"
"1440 stock","131.0","102.1","211.1","99.9","44.7"
"1440 MAX","135.3","104.6","216.9","102.2","43.3"
"1080 stock","175.4","121.7","311.2","110.6","42.7"
"1080 MAX","179.5","119.6","305.9","111.7","43.4"
