"resolution","avg","min","max","onepercent","pointone"
"4k stock","73.5","63.3","93.3","63.1","48.7"
"1440 stock","131.1","113.8","148.8","110.3","86.5"
"1080 stock","146.0","111.5","199.6","108.9","102.8"
